2017-09-29
Gary Cahill
Ryan Babel
Francesco Caputo
Thomas Meunier
Jesús Corona
Amin Younes
Nicolás Castillo
Teemu Pukki
Tiago Volpi
Andreas Christensen
Igor Rossi
Jordan Henderson
Emiliano Viviano
Aleksandar Mitrović
Gylfi Sigurðsson
Juan Mata
Aritz Elustondo
Mathieu Valbuena
Federico Bernardeschi
Rafinha
Lucas Pérez
Filip Kostić
Elías Hernández
Joe Hart
Branislav Ivanović
Younès Belhanda
Morgan Sanson
Keisuke Honda
Serge Aurier
Fernando Muslera
Cenk Tosun
Héctor Bellerín
Eric Bailly
Ryad Boudebouz
Jonathan Orozco
Keita Baldé Diao
Andriy Yarmolenko
Brett Pitman
Iñigo Martínez
Gelson Martins
Salvatore Sirigu
Steve Cook
Domenico Berardi
Aymeric Laporte
Dušan Tadić
Felipe Anderson
Jonathan Viera
Gerónimo Rulli
Yaroslav Rakitskyi
Salomon Kalou
Danny Welbeck
Mateo Kovačić
Liam Moore
José Reina
Daniel Sturridge
Diego López
Benedikt Höwedes
João Mário
Damir Kreilach
Nicolás Gaitán
Atiba Hutchinson
Diego Perotti
Wesley Sneijder
James McCarthy
Stephan El Shaarawy
Daley Blind
Anthony Martial
André Schürrle
Jermain Defoe
Daniele Rugani
Héctor Moreno
Romain Thomas
Alex Oxlade-Chamberlain
Nick Powell
Ömer Toprak
Phil Jagielka
Javier Mascherano
Oliver Baumann
Borja Valero
Loïc Perrin
Mateo Musacchio
Thomas Strakosha
André Ayew
José Callejón
Simone Zaza
Oleg Shatov
Graham Carey
Nacho Monreal
Luis Muriel
Łukasz Piszczek
Morgan Schneiderlin
Kwadwo Asamoah
Gerard Moreno
Julian Brandt
Fernando Belluschi
Łukasz Fabiański
Kendall Waston
Fabián Orellana
Deulofeu Lázaro
Joe Bryan
Lucas Biglia
Adrien Silva
Theo Walcott
Michail Antonio
Hakan Çalhanoğlu
James Ward-Prowse
Kieran Gibbs
Paco Alcácer
Gonzalo Castro
Fabian Johnson
Seydou Doumbia
Victor Wanyama
Kevin Trapp
Eric Maxim Choupo-Moting
Kengo Nakamura
José Izquierdo
Leander Dendoncker
Willian José
Vedran Ćorluka
Antonio Sanabria
Wahbi Khazri
David López
Gastón Ramírez
Ron-Robert Zieler
Wojciech Szczęsny
M'Baye Niang
Marouane Fellaini
Sofiane Feghouli
Andy Carroll
Yunus Mallı
Nicolás Tagliafico
Lucas Alario
Jorge Meré
Ki Sung Yueng
Florian Lejeune
Miguel Almirón
Emanuele Giaccherini
Hamdi Harbaoui
René Adler
Granit Xhaka
Ljubomir Fejsa
Adem Ljajić
Vágner Love
Matias Vecino
Pavel Kadeřábek
Franco Cervi
Charlie Austin
Tomáš Vaclík
Gabriel Paulista
Jannik Vestergaard
Kingsley Coman
Islam Slimani
Nicolás Lodeiro
Karim Bellarabi
Bruno Peres
Paul Baysse
Jonny Evans
Arkadiusz Milik
Niclas Füllkrug
André Gomes
Samir Nasri
Diego Llorente
Michael Barrios
Danny Rose
Fabian Schär
Vincenzo Grifo
Tore Reginiussen
Arda Turan
Nicola Sansone
Alassane Pléa
Jean Michaël Seri
Federico Fazio
Stefano Sorrentino
De Tomás
Antonio Rüdiger
Divock Origi
Miguel Layún
Wylan Cyprien
Sean Morrison
Marco Benassi
Alexey Berezutskiy
Winston Reid
Kyriakos Papadopoulos
Denis Bouanga
Zlatko Junuzović
Simon Terodde
Francesco Acerbi
Benoît Costil
Asmir Begović
Sofiane Boufal
Aïssa Mandi
Víctor Ruíz
Moussa Dembélé
Lars Stindl
Kamil Wilczek
Orestis Karnezis
Blerim Džemaili
Emre Can
Rafael Tolói
Manu Trigueros
Romain Hamouma
Jose Holebas
Davy Klaassen
Emiliano Rigoni
Victor Lindelöf
Alexander Sørloth
Emanuele Calaió
Adrian Mierzejewski
Lucas Vázquez
Alessio Romagnoli
Faouzi Ghoulam
Ashley Williams
